Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
286665,153,0,0.020798,0.02071,0.02071,0.02071,99.58,100,100
286711,125,0,0.424988,0.419829,0.419829,0.419829,98.79,100,100
286717,168,0,0.597242,0.590516,0.590276,0.590276,98.87,99.96,100
286748,252,0,4.31744,4.24441,4.24438,4.24438,98.31,100,100
286767,300,0,5.86316,5.80116,5.799,5.799,98.94,99.96,100
286834,366,0,13.2347,13.1041,13.1028,13.1028,99.01,99.99,100
286854,538,0,13.669888,13.596749,13.595759,13.595759,99.46,99.99,100
286908,399,0,11.061477,11.002443,11.00192,11.00192,99.47,100,100
286990,343,0,10.38217,10.2801,10.27951,10.27951,99.02,99.99,100
287038,315,0,16.0998,15.9904,15.9825,15.9825,99.32,99.95,100
287044,688,0,23.5027,23.3604,23.3479,23.3479,99.39,99.95,100
287068,208,0,6.93457,6.83143,6.83118,6.83118,98.51,100,100
287222,20,0,1.35765,1.33295,1.33018,1.33018,98.18,99.79,100
287224,78,0,2.041702,1.932732,1.932658,1.932658,94.66,100,100
287259,467,0,17.4748,17.4047,17.4035,17.4035,99.6,99.99,100
287270,456,0,22.2162,22.0735,22.0425,22.0425,99.36,99.86,100
287281,471,0,24.3297,24.1638,24.1107,24.1107,99.32,99.78,100
287321,60,0,5.5838,5.52642,5.49172,5.49172,98.97,99.37,100
287330,407,0,21.82028,21.660417,21.620117,21.620117,99.27,99.81,100
287334,337,0,16.4165,16.3279,16.3135,16.3135,99.46,99.91,100
287378,331,0,16.92744,16.82727,16.81257,16.81257,99.41,99.91,100
287380,4,0,0.324138,0.321858,0.319641,0.319641,99.3,99.31,100
287382,342,0,17.75737,17.669774,17.651474,17.651474,99.51,99.9,100
287560,95,0,0.582868,0.572368,0.572368,0.572368,98.2,100,100
287594,154,0,13.0376,12.6816,12.6278,12.6278,97.27,99.58,100
287632,369,0,19.1679,19.0205,18.9915,18.9915,99.23,99.85,100
287706,368,0,27.2048,26.67,26.6057,26.6057,98.03,99.76,100
287728,403,0,26.2577,25.9793,25.93,25.93,98.94,99.81,100
287827,407,0,24.30681,24.14501,24.1147,24.1147,99.33,99.87,100
287843,399,0,25.30699,25.08016,25.0225,25.0225,99.1,99.77,100
287866,623,0,42.5764,42.2681,42.1866,42.1866,99.28,99.81,100
287924,292,0,22.79772,22.60113,22.5426,22.5426,99.14,99.74,100
287931,672,0,37.7235,37.2948,37.2019,37.2019,98.86,99.75,100